ID,Prioridade,Tipo PII,Valor Detectado,Score,Motivo,Texto (Trecho),Explicacao
54,baixa,telefone,telefone 45 3578-6249,0.90,score_medio,"...a após a CONFIRMAÇÃO de recebimento.  Qualquer dúvida, entrar em contato via ligação ou WhatsApp no telefone 45 3578-6249, ou por meio do E-mail: neto@e-ce.adv.ja  Em resposta, informar o Número Interno 789321.","Score de confiança moderado. Provavelmente correto, mas vale verificar."
59,baixa,telefone,15 88123-5422,0.80,score_medio,"Boa tarde quero faze uma reclamação com neoenergia, tô quebrando cabeça com eles a mais de um mês,  fiz um pedido de ligação nova de energia pra minha casa, toda vez vai um fiscal diferente, sempre co...","Score de confiança moderado. Provavelmente correto, mas vale verificar."
61,baixa,nome,Eu Beatriz Oliveira Nunes,0.88,score_medio,"Bom dia.  Eu Beatriz Oliveira Nunes, portadora do CPF: 060.000.186-12, email: jornal@sociedade.con, preciso de uma informação, eu entre...","Score de confiança moderado. Provavelmente correto, mas vale verificar."
73,baixa,nome,Paulo Roberto Braga Nascimento,1.00,contexto_juridico,"Eu, Paulo Roberto Braga Nascimento, Procurador do Estado do Mato Grosso do Sul, mandato ex lege, solicito acesso à cópia integral do p...","Contexto jurídico detectado (OAB, advogado, juiz). Dados profissionais públicos, não dados pessoais sensíveis."
76,baixa,nome,José Paulo Lacerda Almeida,1.00,contexto_juridico,"...ESTADO DE DESENVOLVIMENTO URBANO E HABITAÇÃO - SEDUH  Ref.: PROCESSO SEI nº 00237-14235698/2021-31  José Paulo Lacerda Almeida, já devidamente qualificado nos autos do processo em epígrafe, vem, respeitosamente e com o acatame...","Contexto jurídico detectado (OAB, advogado, juiz). Dados profissionais públicos, não dados pessoais sensíveis."
76,baixa,nome,Paulo SA AN Martins,1.00,contexto_juridico,"...mente e com o acatamento de estilo, à presença de Vossa Excelência, por intermédio de seu advogado, Paulo SA AN Martins, inscrito na OAB/RJ 15.753, com fundamento nos artigos 5º, XXXIII, 37, §3º, II e 216, todos da Cons...","Contexto jurídico detectado (OAB, advogado, juiz). Dados profissionais públicos, não dados pessoais sensíveis."
85,baixa,cpf,12345678908,0.90,score_medio,...r de pele e tipo de cabelo (caso façam parte do seu banco de dados).  Nome: João Lopes Ribeiro CPF: 12345678908 RG: 0987654 Mãe:Gabriela Isabel Campos Lima Cruz CNH: 78945612378 Título de eleitor: 321654987321 (...,"Score de confiança moderado. Provavelmente correto, mas vale verificar."
85,baixa,rg,RG: 0987654,0.85,score_medio,"...tipo de cabelo (caso façam parte do seu banco de dados).  Nome: João Lopes Ribeiro CPF: 12345678908 RG: 0987654 Mãe:Gabriela Isabel Campos Lima Cruz CNH: 78945612378 Título de eleitor: 321654987321 (zona 01, seç...","Score de confiança moderado. Provavelmente correto, mas vale verificar."
95,baixa,telefone,11 789654123,0.80,score_medio,...87439/2024-02  Autuação: G000025483  ORGAO: DETRAN  CONTATO PARA RETORNO:  Email: psyahoo@mega.com  11 789654123,"Score de confiança moderado. Provavelmente correto, mas vale verificar."
99,baixa,nome,Hélio Silva Campos,0.95,score_medio,...dereço residência à Avenida São Luís 333 Taboão da Serra SP CEP 29. 192 - 170. Condomínio Municipal Hélio Silva Campos  * Motivo do pedido: Solicitação de providências após o registro de inúmeros e diversos boletins de...,"Score de confiança moderado. Provavelmente correto, mas vale verificar."
